Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
電梯大樓,38.32,17.97,4.0,0.0,1.0,1.0,0.0,鳳山區,1080.0,3.0,2.0,2.0,11,13
透天厝,19.36,19.36,51.0,0.0,0.0,1.0,0.0,楠梓區,598.0,2.0,2.0,2.0,All,2
公寓,27.71,23.62,43.0,0.0,0.0,1.0,1.0,三民區,398.0,3.0,2.0,1.0,5,5
電梯大樓,49.0,22.9,2.0,0.0,1.0,0.0,0.0,三民區,1598.0,3.0,2.0,2.0,3,15
透天厝,59.75,53.21,20.0,0.0,0.0,1.0,0.0,橋頭區,2280.0,5.0,2.0,3.0,All,4
電梯大樓,54.88,26.86,5.0,0.0,1.0,0.0,0.0,前鎮區,1780.0,3.0,2.0,2.0,5,14
透天厝,84.38,75.28,15.0,0.0,1.0,0.0,0.0,鳳山區,3480.0,5.0,3.0,4.0,All,4
電梯大樓,53.19,25.65,17.0,0.0,1.0,1.0,0.0,楠梓區,1968.0,3.0,2.0,2.0,23,27
電梯大樓,49.28,29.02,24.0,0.0,1.0,1.0,1.0,左營區,1350.0,4.0,2.0,2.0,2,12
電梯大樓,43.6,21.33,11.0,1.0,1.0,0.0,0.0,左營區,1328.0,3.0,2.0,2.0,5,15
電梯大樓,31.2,22.58,38.0,0.0,0.0,0.0,0.0,左營區,528.0,3.0,2.0,2.0,11,12
電梯大樓,52.04,31.63,25.0,0.0,0.0,1.0,1.0,左營區,1698.0,4.0,2.0,2.0,19,26
電梯大樓,53.3,28.76,26.0,0.0,0.0,0.0,0.0,左營區,1458.0,4.0,2.0,3.0,All,14
電梯大樓,43.86,23.63,27.0,0.0,1.0,1.0,0.0,左營區,1468.0,3.0,2.0,2.0,11,19
電梯大樓,35.98,24.42,29.0,0.0,0.0,0.0,1.0,左營區,998.0,2.0,2.0,2.0,18,27
電梯大樓,38.96,23.97,22.0,1.0,0.0,1.0,1.0,鼓山區,1130.0,3.0,2.0,2.0,11,22
公寓,48.37,29.04,30.0,0.0,0.0,0.0,0.0,鼓山區,1280.0,3.0,2.0,2.0,4,5
電梯大樓,75.79,49.9,33.0,0.0,1.0,0.0,1.0,三民區,1888.0,5.0,2.0,3.0,13,20
透天厝,62.9,56.21,0.6666666666666666,0.0,0.0,0.0,0.0,梓官區,2088.0,5.0,2.0,5.0,All,4
電梯大樓,58.14,30.66,7.0,1.0,1.0,1.0,0.0,楠梓區,1680.0,4.0,2.0,2.0,2,20
電梯大樓,44.31,21.4,20.0,0.0,1.0,1.0,0.0,楠梓區,1280.0,3.0,2.0,2.0,6,15
電梯大樓,88.04,36.68,6.0,1.0,1.0,1.0,0.0,左營區,3960.0,4.0,2.0,2.0,6,15
公寓,45.43,27.16,30.0,0.0,1.0,1.0,1.0,左營區,1238.0,4.0,2.0,2.0,4,20
